timestamp,room,sensor_name,value
2025-01-01 00:00:00,living_room,temperature,16.75
2025-01-01 00:00:00,living_room,light,0.043
2025-01-01 00:00:00,living_room,motion,0.0
2025-01-01 00:00:00,bedroom,temperature,15.44
2025-01-01 00:00:00,bedroom,light,0.066
2025-01-01 00:00:00,bedroom,motion,0.0
2025-01-01 00:00:00,kitchen,temperature,17.79
2025-01-01 00:00:00,kitchen,light,0.088
2025-01-01 00:00:00,kitchen,motion,0.0
2025-01-01 00:01:00,living_room,temperature,16.21
2025-01-01 00:01:00,living_room,light,0.024
2025-01-01 00:01:00,living_room,motion,0.0
2025-01-01 00:01:00,bedroom,temperature,16.12
2025-01-01 00:01:00,bedroom,light,0.0
2025-01-01 00:01:00,bedroom,motion,0.0
2025-01-01 00:01:00,kitchen,temperature,17.41
2025-01-01 00:01:00,kitchen,light,0.0
2025-01-01 00:01:00,kitchen,motion,0.0
2025-01-01 00:02:00,living_room,temperature,16.05
2025-01-01 00:02:00,living_room,light,0.0
2025-01-01 00:02:00,living_room,motion,0.0
2025-01-01 00:02:00,bedroom,temperature,15.69
2025-01-01 00:02:00,bedroom,light,0.08
2025-01-01 00:02:00,bedroom,motion,0.0
2025-01-01 00:02:00,kitchen,temperature,16.73
2025-01-01 00:02:00,kitchen,light,0.056
2025-01-01 00:02:00,kitchen,motion,0.0
2025-01-01 00:03:00,living_room,temperature,16.2
2025-01-01 00:03:00,living_room,light,0.097
2025-01-01 00:03:00,living_room,motion,0.0
2025-01-01 00:03:00,bedroom,temperature,15.7
2025-01-01 00:03:00,bedroom,light,0.143
2025-01-01 00:03:00,bedroom,motion,0.0
2025-01-01 00:03:00,kitchen,temperature,16.73
2025-01-01 00:03:00,kitchen,light,0.05
2025-01-01 00:03:00,kitchen,motion,0.0
2025-01-01 00:04:00,living_room,temperature,16.91
2025-01-01 00:04:00,living_room,light,0.0
2025-01-01 00:04:00,living_room,motion,0.0
2025-01-01 00:04:00,bedroom,temperature,17.39
2025-01-01 00:04:00,bedroom,light,0.11
2025-01-01 00:04:00,bedroom,motion,0.0
2025-01-01 00:04:00,kitchen,temperature,17.37
2025-01-01 00:04:00,kitchen,light,0.059
2025-01-01 00:04:00,kitchen,motion,0.0
2025-01-01 00:05:00,living_room,temperature,16.0
2025-01-01 00:05:00,living_room,light,0.0
2025-01-01 00:05:00,living_room,motion,0.0
2025-01-01 00:05:00,bedroom,temperature,15.77
2025-01-01 00:05:00,bedroom,light,0.103
2025-01-01 00:05:00,bedroom,motion,0.0
2025-01-01 00:05:00,kitchen,temperature,16.44
2025-01-01 00:05:00,kitchen,light,0.057
